serving_id,rank,label,label_url,model,hardware,engine,condition,metric,value,unit,per_accelerator,direction,scenario,board_condition,source_type,source_title,source_url,source_date,evidence,status,caveat,accessed
artificial-analysis-performance,1,Groq,https://artificialanalysis.ai/providers/groq,Llama 3.3 Instruct 70B,API 제공자(하드웨어 비공개),엔진 비공개,"Single prompt (concurrency 1), 10k input token workload (~10,000 input tokens, >=1,500 answer tokens; the site default), median over the past 72 hours",Output speed (median output tokens/s),281.2,output tokens/s,,higher_is_better,"API 제공자 비교, 단일 요청, 입력 1만 토큰","Single prompt (concurrency 1), 10k input token workload (~10,000 input tokens, >=1,500 answer tokens; the site default), median over the past 72 hours",official_results,"Artificial Analysis, Llama 3.3 70B API provider performance page (embedded hostModels JSON)",https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers,2026-09-26,"pdf/serving-artificial-analysis-performance.json (hostModels array parsed from the page's Next.js flight data, 13 hosts, sha256 151c2aee0e0833ae191a447a1f327c82eb7676dffa90835562ad6d6eebec5b40); performance.outputSpeed.median and performance.timeToFirstToken.median equal byPromptType.long, the page default; workload and window definitions from https://artificialanalysis.ai/methodology/performance-benchmarking",verified,"API provider figures on shared endpoints, not self-hosted throughput: output speed is per single request after the first token, so it does not reflect batch throughput; hardware, engine and precision are not disclosed (Groq and SambaNova run custom accelerators, others list FP8 only in the label). Values are a rolling 72-hour median and change daily; the page carries no explicit timestamp, so source_date is the snapshot date. Fireworks and Cloudflare are listed without performance data (11 of 13 hosts measured).",2026-09-26
artificial-analysis-performance,2,SambaNova,https://artificialanalysis.ai/providers/sambanova,Llama 3.3 Instruct 70B,API 제공자(하드웨어 비공개),엔진 비공개,"Single prompt (concurrency 1), 10k input token workload (~10,000 input tokens, >=1,500 answer tokens; the site default), median over the past 72 hours",Output speed (median output tokens/s),276.3,output tokens/s,,higher_is_better,"API 제공자 비교, 단일 요청, 입력 1만 토큰","Single prompt (concurrency 1), 10k input token workload (~10,000 input tokens, >=1,500 answer tokens; the site default), median over the past 72 hours",official_results,"Artificial Analysis, Llama 3.3 70B API provider performance page (embedded hostModels JSON)",https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers,2026-09-26,"pdf/serving-artificial-analysis-performance.json (hostModels array parsed from the page's Next.js flight data, 13 hosts, sha256 151c2aee0e0833ae191a447a1f327c82eb7676dffa90835562ad6d6eebec5b40); performance.outputSpeed.median and performance.timeToFirstToken.median equal byPromptType.long, the page default; workload and window definitions from https://artificialanalysis.ai/methodology/performance-benchmarking",verified,"API provider figures on shared endpoints, not self-hosted throughput: output speed is per single request after the first token, so it does not reflect batch throughput; hardware, engine and precision are not disclosed (Groq and SambaNova run custom accelerators, others list FP8 only in the label). Values are a rolling 72-hour median and change daily; the page carries no explicit timestamp, so source_date is the snapshot date. Fireworks and Cloudflare are listed without performance data (11 of 13 hosts measured).",2026-09-26
artificial-analysis-performance,3,Google Vertex,https://artificialanalysis.ai/providers/google,Llama 3.3 Instruct 70B,API 제공자(하드웨어 비공개),엔진 비공개,"Single prompt (concurrency 1), 10k input token workload (~10,000 input tokens, >=1,500 answer tokens; the site default), median over the past 72 hours",Output speed (median output tokens/s),142.7,output tokens/s,,higher_is_better,"API 제공자 비교, 단일 요청, 입력 1만 토큰","Single prompt (concurrency 1), 10k input token workload (~10,000 input tokens, >=1,500 answer tokens; the site default), median over the past 72 hours",official_results,"Artificial Analysis, Llama 3.3 70B API provider performance page (embedded hostModels JSON)",https://artificialanalysis.ai/models/llama-3-3-instruct-70b/providers,2026-09-26,"pdf/serving-artificial-analysis-performance.json (hostModels array parsed from the page's Next.js flight data, 13 hosts, sha256 151c2aee0e0833ae191a447a1f327c82eb7676dffa90835562ad6d6eebec5b40); performance.outputSpeed.median and performance.timeToFirstToken.median equal byPromptType.long, the page default; workload and window definitions from https://artificialanalysis.ai/methodology/performance-benchmarking",verified,"API provider figures on shared endpoints, not self-hosted throughput: output speed is per single request after the first token, so it does not reflect batch throughput; hardware, engine and precision are not disclosed (Groq and SambaNova run custom accelerators, others list FP8 only in the label). Values are a rolling 72-hour median and change daily; the page carries no explicit timestamp, so source_date is the snapshot date. Fireworks and Cloudflare are listed without performance data (11 of 13 hosts measured).",2026-09-26
inferencex,1,GB300 NVL72 · Dynamo + TensorRT-LLM,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21640109636/attempts/1,DeepSeek-R1-0528,"NVIDIA GB300, 4 prefill + 8 decode GPUs","Dynamo runtime 0.8.1 + TensorRT-LLM, FP4, disaggregated","ISL 1024 / OSL 1024, concurrency 8192; median interactivity 14.9 tok/s/user, median TPOT 66.9 ms, median TTFT 3.01 s",tput_per_gpu (input+output tokens/s per GPU),18321.0,tokens/s/GPU,18321.0,higher_is_better,"입력 1,024 · 출력 1,024 토큰, 최대 처리량 지점",Fixed-sequence load: 1024 input / 1024 output tokens; throughput is the max-concurrency point of each configuration's curve (concurrency and interactivity listed per row); no latency bound applied,official_results,"InferenceX (SemiAnalysis) published results API, model DeepSeek-R1-0528, latest snapshot per configuration",https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-R1-0528,2026-09-26,"pdf/serving-inferencex.json (1310 rows, sha256 9e742d4584a15e5c00a888a98213329d8d476f500d091cd4b1792681612eff34); rows filtered to isl=1024, osl=1024, ranked by metrics.tput_per_gpu, best row per hardware x framework x precision; API semantics from InferenceX docs/results-and-ingestion.md and InferenceX-app packages/db/src/queries/benchmarks.ts (latest run per curve)",verified,"InferenceX is a continuous CI benchmark, not a round: the API returns each configuration's latest run, so the three rows come from different dates (2026-01-28 to 2026-03-23) and engine images. Max per-GPU throughput sits at the low-interactivity end of each curve (13 to 18 tok/s/user); at a 50 tok/s/user floor the order changes (GB300 11997, B200 9661, GB200 7698 tok/s/GPU, all Dynamo+TRT-LLM FP4 with MTP). All three top rows are NVIDIA Dynamo + TensorRT-LLM FP4 disaggregated multinode; the best single-node row is B200 TensorRT-LLM FP4 (8k/1k: 10710 tok/s/GPU, 4 GPUs). tput_per_gpu counts input plus output tokens.",2026-09-26
inferencex,2,GB200 NVL72 · Dynamo + TensorRT-LLM,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23438524239/attempts/5,DeepSeek-R1-0528,"NVIDIA GB200, 4 prefill + 8 decode GPUs","Dynamo runtime 0.8.1 + TensorRT-LLM, FP4, disaggregated","ISL 1024 / OSL 1024, concurrency 6144; median interactivity 18.1 tok/s/user, median TPOT 55.3 ms, median TTFT 7.63 s",tput_per_gpu (input+output tokens/s per GPU),15003.0,tokens/s/GPU,15003.0,higher_is_better,"입력 1,024 · 출력 1,024 토큰, 최대 처리량 지점",Fixed-sequence load: 1024 input / 1024 output tokens; throughput is the max-concurrency point of each configuration's curve (concurrency and interactivity listed per row); no latency bound applied,official_results,"InferenceX (SemiAnalysis) published results API, model DeepSeek-R1-0528, latest snapshot per configuration",https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-R1-0528,2026-09-26,"pdf/serving-inferencex.json (1310 rows, sha256 9e742d4584a15e5c00a888a98213329d8d476f500d091cd4b1792681612eff34); rows filtered to isl=1024, osl=1024, ranked by metrics.tput_per_gpu, best row per hardware x framework x precision; API semantics from InferenceX docs/results-and-ingestion.md and InferenceX-app packages/db/src/queries/benchmarks.ts (latest run per curve)",verified,"InferenceX is a continuous CI benchmark, not a round: the API returns each configuration's latest run, so the three rows come from different dates (2026-01-28 to 2026-03-23) and engine images. Max per-GPU throughput sits at the low-interactivity end of each curve (13 to 18 tok/s/user); at a 50 tok/s/user floor the order changes (GB300 11997, B200 9661, GB200 7698 tok/s/GPU, all Dynamo+TRT-LLM FP4 with MTP). All three top rows are NVIDIA Dynamo + TensorRT-LLM FP4 disaggregated multinode; the best single-node row is B200 TensorRT-LLM FP4 (8k/1k: 10710 tok/s/GPU, 4 GPUs). tput_per_gpu counts input plus output tokens.",2026-09-26
inferencex,3,B300 · Dynamo + TensorRT-LLM,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21446488308/attempts/1,DeepSeek-R1-0528,"NVIDIA B300, 6 prefill + 8 decode GPUs","Dynamo runtime 0.8.1 + TensorRT-LLM, FP4, disaggregated","ISL 1024 / OSL 1024, concurrency 8192; median interactivity 13.5 tok/s/user, median TPOT 73.9 ms, median TTFT 0.65 s",tput_per_gpu (input+output tokens/s per GPU),14773.4,tokens/s/GPU,14773.4,higher_is_better,"입력 1,024 · 출력 1,024 토큰, 최대 처리량 지점",Fixed-sequence load: 1024 input / 1024 output tokens; throughput is the max-concurrency point of each configuration's curve (concurrency and interactivity listed per row); no latency bound applied,official_results,"InferenceX (SemiAnalysis) published results API, model DeepSeek-R1-0528, latest snapshot per configuration",https://inferencex.semianalysis.com/api/v1/benchmarks?model=DeepSeek-R1-0528,2026-09-26,"pdf/serving-inferencex.json (1310 rows, sha256 9e742d4584a15e5c00a888a98213329d8d476f500d091cd4b1792681612eff34); rows filtered to isl=1024, osl=1024, ranked by metrics.tput_per_gpu, best row per hardware x framework x precision; API semantics from InferenceX docs/results-and-ingestion.md and InferenceX-app packages/db/src/queries/benchmarks.ts (latest run per curve)",verified,"InferenceX is a continuous CI benchmark, not a round: the API returns each configuration's latest run, so the three rows come from different dates (2026-01-28 to 2026-03-23) and engine images. Max per-GPU throughput sits at the low-interactivity end of each curve (13 to 18 tok/s/user); at a 50 tok/s/user floor the order changes (GB300 11997, B200 9661, GB200 7698 tok/s/GPU, all Dynamo+TRT-LLM FP4 with MTP). All three top rows are NVIDIA Dynamo + TensorRT-LLM FP4 disaggregated multinode; the best single-node row is B200 TensorRT-LLM FP4 (8k/1k: 10710 tok/s/GPU, 4 GPUs). tput_per_gpu counts input plus output tokens.",2026-09-26
mlperf-endpoints,1,Google A4X-MAX (GB300 NVL72),https://github.com/mlcommons/endpoints_results_v0.7/tree/main/Google/GB300-NVL72_GB300-288GB_aarch64x72_TRT/deepseek-r1/results/point_1024,DeepSeek-R1 (671B),72x NVIDIA GB300 (NVL72),"TensorRT-LLM 1.3.0rc14 disaggregated, NVFP4 + FP8 KV, MTP-3","concurrency 1024 (fixed operating point); interactivity 129.4 tokens/s/user; TTFT p95 323 ms, p99 1284 ms; TPOT p50 7.55 ms; parallelism EP 64, TP 1, PP 1, DP 64, disaggregated, attention_dp, batch=16",system throughput (output tokens/s),132474.9,tokens/s,1839.9,higher_is_better,"온라인 서빙, 동시 요청 1,024 지점","Fixed operating point: 1024 concurrent users; MLPerf DeepSeek-R1 eval set (4,388 samples, 105,312 requests per point for Google and NVIDIA GB300, 132,300 for CoreWeave and NVIDIA GB200), max_new_tokens 20000, streaming, greedy (temperature 0); output length avg about 3,750 tokens; interactivity = 1 / TPOT, TTFT reported at p95; no latency bound is imposed by the v0.7 rules, every point must meet the DeepSeek-R1 accuracy target (exact match >= 99% of reference)",official_results,"MLPerf Endpoints v0.7 results (mlcommons/endpoints_results_v0.7), DeepSeek-R1, Standardized division, Available systems",https://github.com/mlcommons/endpoints_results_v0.7,2026-07-28,"Per-point files <submitter>/<system>/<model>/results/point_<concurrency>/run_metadata.json and system_desc.json in the repo (456 metadata/summary files downloaded, 10 submissions, 4 of them DeepSeek-R1); ranking = system_tps at concurrency 1024, the an operating point shared by all four DeepSeek-R1 submissions (shared points: 48, 256, 512, 1024, 2048, 4096, 8192); the top-3 order is unchanged at 8192; TTFT/TPOT from measured_latency_* fields of the same file; CoreWeave values match the table in its documentation/README.md. The public dashboard snapshot is pdf/serving-mlperf-endpoints.html (sha256 6c5220a142067169f36d02f4fd16b29a96b793ffb1bf7f846849317d3118a027) but it embeds a preview dataset, not v0.7 (see attempts).",verified,"Endpoints publishes a whole throughput-versus-interactivity curve per system, not one number: the ranking here is at one shared concurrency (1024), and it flips at other points (peak throughput: NVIDIA NVIDIA GB300 x72: 546,980 tokens/s at concurrency 28080 (19.5 tokens/s/user, TTFT p95 36.8 s); CoreWeave NVIDIA GB200 x68: 441,740 tokens/s at concurrency 16384 (27.0 tokens/s/user, TTFT p95 5.8 s); NVIDIA NVIDIA GB200 x72: 408,585 tokens/s at concurrency 16384 (24.9 tokens/s/user, TTFT p95 12.7 s); Google NVIDIA GB300 x72: 408,369 tokens/s at concurrency 8192 (49.9 tokens/s/user, TTFT p95 6.4 s)); CoreWeave runs on 68 GPUs (17 nodes) against 72 for the others, so per-accelerator values are not like for like; v0.7 is a foundation release with five submitters and one shared TensorRT-LLM stack for all DeepSeek-R1 rows, so it compares deployments of one software stack rather than engines.",2026-09-26
mlperf-endpoints,2,NVIDIA GB300 NVL72,https://github.com/mlcommons/endpoints_results_v0.7/tree/main/NVIDIA/GB300-NVL72_GB300-288GB_aarch64x72_TRT/deepseek-r1/results/point_1024,DeepSeek-R1 (671B),72x NVIDIA GB300 (NVL72),"TensorRT-LLM 1.3.0rc14 disaggregated, NVFP4 + FP8 KV, MTP-3","concurrency 1024 (fixed operating point); interactivity 127.3 tokens/s/user; TTFT p95 572 ms, p99 726 ms; TPOT p50 7.65 ms; parallelism EP 64, TP 1, PP 1, DP 64, disaggregated, attention_dp, batch=16",system throughput (output tokens/s),130376.4,tokens/s,1810.8,higher_is_better,"온라인 서빙, 동시 요청 1,024 지점","Fixed operating point: 1024 concurrent users; MLPerf DeepSeek-R1 eval set (4,388 samples, 105,312 requests per point for Google and NVIDIA GB300, 132,300 for CoreWeave and NVIDIA GB200), max_new_tokens 20000, streaming, greedy (temperature 0); output length avg about 3,750 tokens; interactivity = 1 / TPOT, TTFT reported at p95; no latency bound is imposed by the v0.7 rules, every point must meet the DeepSeek-R1 accuracy target (exact match >= 99% of reference)",official_results,"MLPerf Endpoints v0.7 results (mlcommons/endpoints_results_v0.7), DeepSeek-R1, Standardized division, Available systems",https://github.com/mlcommons/endpoints_results_v0.7,2026-07-28,"Per-point files <submitter>/<system>/<model>/results/point_<concurrency>/run_metadata.json and system_desc.json in the repo (456 metadata/summary files downloaded, 10 submissions, 4 of them DeepSeek-R1); ranking = system_tps at concurrency 1024, the an operating point shared by all four DeepSeek-R1 submissions (shared points: 48, 256, 512, 1024, 2048, 4096, 8192); the top-3 order is unchanged at 8192; TTFT/TPOT from measured_latency_* fields of the same file; CoreWeave values match the table in its documentation/README.md. The public dashboard snapshot is pdf/serving-mlperf-endpoints.html (sha256 6c5220a142067169f36d02f4fd16b29a96b793ffb1bf7f846849317d3118a027) but it embeds a preview dataset, not v0.7 (see attempts).",verified,"Endpoints publishes a whole throughput-versus-interactivity curve per system, not one number: the ranking here is at one shared concurrency (1024), and it flips at other points (peak throughput: NVIDIA NVIDIA GB300 x72: 546,980 tokens/s at concurrency 28080 (19.5 tokens/s/user, TTFT p95 36.8 s); CoreWeave NVIDIA GB200 x68: 441,740 tokens/s at concurrency 16384 (27.0 tokens/s/user, TTFT p95 5.8 s); NVIDIA NVIDIA GB200 x72: 408,585 tokens/s at concurrency 16384 (24.9 tokens/s/user, TTFT p95 12.7 s); Google NVIDIA GB300 x72: 408,369 tokens/s at concurrency 8192 (49.9 tokens/s/user, TTFT p95 6.4 s)); CoreWeave runs on 68 GPUs (17 nodes) against 72 for the others, so per-accelerator values are not like for like; v0.7 is a foundation release with five submitters and one shared TensorRT-LLM stack for all DeepSeek-R1 rows, so it compares deployments of one software stack rather than engines.",2026-09-26
mlperf-endpoints,3,CoreWeave GB200 NVL72,https://github.com/mlcommons/endpoints_results_v0.7/tree/main/CoreWeave/NVIDIA_GB200_NVL72/deepseek_r1-torch-fp4/results/point_1024,DeepSeek-R1 (671B),68x NVIDIA GB200 (NVL72),"TensorRT-LLM 1.3.0rc14 disaggregated, NVFP4 + FP8 KV, MTP-3","concurrency 1024 (fixed operating point); interactivity 124.6 tokens/s/user; TTFT p95 1680 ms, p99 2900 ms; TPOT p50 7.81 ms; parallelism EP 32, PP 1, TP 32, DP 2, disaggregated, batch=16",system throughput (output tokens/s),127635.8,tokens/s,1877.0,higher_is_better,"온라인 서빙, 동시 요청 1,024 지점","Fixed operating point: 1024 concurrent users; MLPerf DeepSeek-R1 eval set (4,388 samples, 105,312 requests per point for Google and NVIDIA GB300, 132,300 for CoreWeave and NVIDIA GB200), max_new_tokens 20000, streaming, greedy (temperature 0); output length avg about 3,750 tokens; interactivity = 1 / TPOT, TTFT reported at p95; no latency bound is imposed by the v0.7 rules, every point must meet the DeepSeek-R1 accuracy target (exact match >= 99% of reference)",official_results,"MLPerf Endpoints v0.7 results (mlcommons/endpoints_results_v0.7), DeepSeek-R1, Standardized division, Available systems",https://github.com/mlcommons/endpoints_results_v0.7,2026-07-28,"Per-point files <submitter>/<system>/<model>/results/point_<concurrency>/run_metadata.json and system_desc.json in the repo (456 metadata/summary files downloaded, 10 submissions, 4 of them DeepSeek-R1); ranking = system_tps at concurrency 1024, the an operating point shared by all four DeepSeek-R1 submissions (shared points: 48, 256, 512, 1024, 2048, 4096, 8192); the top-3 order is unchanged at 8192; TTFT/TPOT from measured_latency_* fields of the same file; CoreWeave values match the table in its documentation/README.md. The public dashboard snapshot is pdf/serving-mlperf-endpoints.html (sha256 6c5220a142067169f36d02f4fd16b29a96b793ffb1bf7f846849317d3118a027) but it embeds a preview dataset, not v0.7 (see attempts).",verified,"Endpoints publishes a whole throughput-versus-interactivity curve per system, not one number: the ranking here is at one shared concurrency (1024), and it flips at other points (peak throughput: NVIDIA NVIDIA GB300 x72: 546,980 tokens/s at concurrency 28080 (19.5 tokens/s/user, TTFT p95 36.8 s); CoreWeave NVIDIA GB200 x68: 441,740 tokens/s at concurrency 16384 (27.0 tokens/s/user, TTFT p95 5.8 s); NVIDIA NVIDIA GB200 x72: 408,585 tokens/s at concurrency 16384 (24.9 tokens/s/user, TTFT p95 12.7 s); Google NVIDIA GB300 x72: 408,369 tokens/s at concurrency 8192 (49.9 tokens/s/user, TTFT p95 6.4 s)); CoreWeave runs on 68 GPUs (17 nodes) against 72 for the others, so per-accelerator values are not like for like; v0.7 is a foundation release with five submitters and one shared TensorRT-LLM stack for all DeepSeek-R1 rows, so it compares deployments of one software stack rather than engines.",2026-09-26
mlperf-inference,1,CoreWeave GB300 NVL72,https://github.com/mlcommons/inference_results_v6.1/tree/main/closed/CoreWeave/results/GB300-NVL72_GB300-288GB_aarch64x72_TRT/llama2-70b-99.9/Server,Llama 2 70B (llama2-70b-99.9),72x NVIDIA GB300 (18 nodes × 4),"TensorRT-LLM 1.2 + Dynamo 0.8, FP4","Server, closed, available; measured p99 TTFT 643.3 ms, p99 TPOT 70.1 ms (limits 2000 / 200 ms)",tokens/s (completed output tokens per second),944902.0,tokens/s,13123.6,higher_is_better,Server 시나리오,"Server scenario, Closed division, Available systems; p99 TTFT <= 2000 ms and p99 TPOT <= 200 ms (conversational category); accuracy 99.9% of FP32 reference (ROUGE) and generated tokens per sample >= 90% of reference; OpenOrca, max_seq_len 1024, max_new_tokens 1024, greedy decoding; 24,576-sample dataset, min run 600 s",official_results,"MLPerf Inference v6.1 Datacenter results (Closed division, Available systems), Llama 2 70B Server scenario",https://github.com/mlcommons/inference_results_v6.1/blob/main/summary.csv,2026-09-16,"pdf/serving-mlperf-inference.csv (summary.csv of mlcommons/inference_results_v6.1, 492 rows, sha256 87980a2dfba85139ca806b63634305bcbc4ad6803bf2d520351e022ba905065a); rows filtered to Division=closed, SystemType=datacenter, Availability=available, MlperfModel=llama2-70b-99.9, Scenario=Server (39 rows), sorted by Result desc; top-3 values and p99 TTFT/TPOT cross-checked against each run's mlperf_log_summary.txt (Result is VALID, ttft_latency 2000000000 ns, tpot_latency 200000000 ns)",verified,"MLPerf rows are submitter-chosen systems: rack-scale NVL72 entries (72 GPUs) dominate absolute tokens/s, while per-accelerator throughput is higher on the small 8x GB300 systems (Oracle NVIDIA GB300 NVL72 (8x GB300-288GB_aarch64, TensorRT) 8x NVIDIA GB300: 15998 tokens/s per accelerator; NVIDIA NVIDIA GB300 NVL72 (8x GB300-288GB_aarch64, TensorRT) 8x NVIDIA GB300: 15989 tokens/s per accelerator; Oracle NVIDIA GB300 NVL72 (4x GB300-288GB_aarch64, TensorRT) 4x NVIDIA GB300: 14748 tokens/s per accelerator), so compare only at equal accelerator counts; all three top rows use FP4 weights with TensorRT-LLM, and each submitter's software branch and power settings (GB300 1400 W TGP) differ.",2026-09-26
