id,이름,분류,측정 대상,주요 지표,부하 방식,하드웨어 공개,원시 결과,에어갭,라이선스,운영 상태,최근 확인일,Benchpress 판단,설명,링크
vllm-bench-serve,vLLM Bench Serve,측정 도구,자체 호스팅 엔드포인트,"TTFT·TPOT·ITL·E2E·초당 요청 수·초당 토큰 수·유효 처리량(goodput)","고정 동시성·열린 루프(open loop)·푸아송(Poisson)·조건 반복(parameter sweep)",사용자 기록,JSON,가능,Apache-2.0,활성,2026-09-24,사용 중,"vLLM에 포함된 OpenAI 호환 서빙 벤치마크입니다. 엔진 성능이 이전 버전보다 나빠졌는지 확인하고 Benchpress 결과를 교차 검증할 때 사용합니다.",https://docs.vllm.ai/en/latest/benchmarking/cli/
guidellm,GuideLLM,측정 도구,OpenAI 호환 엔드포인트,"TTFT·ITL·TPOT·E2E·처리량·SLO","동기 요청·동시성·고정 요청률(fixed request rate)·푸아송(Poisson)·조건 반복(parameter sweep)",사용자 기록,"JSON·YAML·CSV·HTML",조건부,Apache-2.0,활성,2026-09-24,도입 후보,"부하 유형과 서비스 수준 목표(SLO)를 설정할 수 있는 vLLM 프로젝트 도구입니다. 처리량과 지연 사이의 상충 관계(trade-off)를 확인할 수 있습니다.",https://github.com/vllm-project/guidellm
aiperf,AIPerf,측정 도구,OpenAI 호환 엔드포인트,"TTFT·ITL·E2E·처리량·유효 처리량(goodput)","동시성·도착률·고정 일정(fixed schedule)·조건 반복(parameter sweep)",사용자 기록,"CSV·JSON",조건부,Apache-2.0,활성,2026-09-24,참고,"NVIDIA의 생성형 AI 부하 도구입니다. 요청 기록을 다시 실행하고 서비스 수준 목표(SLO)를 만족한 유효 처리량(goodput)을 계산할 수 있습니다.",https://github.com/ai-dynamo/aiperf
genai-perf,GenAI-Perf,측정 도구,Triton·OpenAI 호환 엔드포인트,"TTFT·ITL·요청 지연 시간·처리량","동시성·요청률(request rate)",사용자 기록,"CSV·JSON",조건부,BSD-3-Clause,단계적 종료,2026-09-24,보류,"NVIDIA Performance Analyzer를 기반으로 한 도구입니다. 공식 안내에 따라 AIPerf로 기능이 이전되고 있습니다.",https://github.com/triton-inference-server/perf_analyzer/tree/main/genai-perf
sglang-bench-serving,SGLang Bench Serving,측정 도구,자체 호스팅 엔드포인트,"TTFT·TPOT·ITL·E2E·처리량·캐시","고정 동시성·열린 루프(open loop)",사용자 기록,JSONL,가능,Apache-2.0,활성,2026-09-24,참고,"공유 접두어(prefix) 데이터와 캐시 비우기(cache flush)를 지원하므로 KV 캐시(KV cache) 실험에 사용할 수 있습니다.",https://github.com/sgl-project/sglang/blob/main/python/sglang/benchmark/serving.py
inference-benchmarker,HF Inference Benchmarker,측정 도구,HTTP 추론 엔드포인트,"TTFT·ITL·E2E·처리량·오류율","요청률·처리량·조건 반복(parameter sweep)",사용자 기록,JSON,가능,Apache-2.0,유지보수 확인 필요,2026-09-24,참고,"Rust 단일 실행 파일로 제공되는 부하 도구입니다. 도입하기 전에 최신 릴리스와 유지보수 상태를 다시 확인해야 합니다.",https://github.com/huggingface/inference-benchmarker
mlperf-inference,MLPerf Inference,공개 성능 표준,하드웨어·소프트웨어·모델 시스템,"QPS·처리량·p99 TTFT·p99 TPOT","서버 푸아송(Server Poisson)·일괄 처리(Offline)",상세 공개,"제출 로그·설정·코드",해당 없음,Apache-2.0,활성,2026-09-24,방법론 채택,"규칙과 감사 절차를 갖춘 시스템 성능 표준입니다. 서비스 수준 목표(SLO)와 시스템 구성 공개 형식을 설계할 때 참고합니다.",https://github.com/mlcommons/inference
mlperf-endpoints,MLPerf Endpoints,공개 성능 보드,배포된 추론 엔드포인트,"TTFT·TPOT·처리량·파레토(Pareto)",표준 엔드포인트 작업 부하(endpoint workload),제출별 공개,결과 공개,해당 없음,MLCommons rules,활성,2026-09-24,참고,"배포된 시스템의 지연 시간과 처리량을 파레토 곡선(Pareto curve)으로 비교합니다.",https://mlcommons.org/benchmarks/endpoints/
inferencex,InferenceX,공개 성능 보드,하드웨어·엔진 조합,"GPU당 처리량·사용자당 토큰/초·비용","입출력 길이별 동시성 반복 측정",상세 공개,"코드·작업 흐름·실행 산출물",해당 없음,Apache-2.0,활성,2026-09-24,참고,"최신 엔진과 하드웨어 조합을 계속 다시 측정하는 공개 추론 성능 연구 플랫폼입니다.",https://github.com/SemiAnalysisAI/InferenceX
artificial-analysis-performance,Artificial Analysis Performance,공개 성능 보드,상용 API 엔드포인트,"출력 속도·TTFT·첫 응답 토큰·E2E·비용","단일 요청·동시 요청 10개",비공개,웹 결과,해당 없음,서비스 방법론,활성,2026-09-24,방법론 채택,"같은 프롬프트로 API 제공자를 반복 측정하고 최근 측정값의 중앙값을 공개합니다.",https://artificialanalysis.ai/methodology/performance-benchmarking
openbenchmarks-inference,OpenBenchmarks Inference,공개 성능 보드,동일 모델의 여러 API,"TTFO·TTFA·E2E·출력 속도·과제 성공·실패","제공자당 동시 요청 1개",비공개,"요청 기록·평가·보고서",해당 없음,미표기,초기 공개,2026-09-24,관찰,"같은 모델을 제공하는 여러 API의 품질과 성능을 비교합니다. 저장소 라이선스가 확정되기 전에는 코드를 반입하지 않습니다.",https://github.com/openbenchmarks-labs/inference
vllm-performance-dashboard,vLLM Performance Dashboard,회귀 대시보드,vLLM 엔진 빌드,"지연 시간·처리량·고정 QPS",CI 고정 작업 부하,공개,"CI 산출물",해당 없음,Apache-2.0,활성,2026-09-24,참고,"여러 가속기에서 vLLM 빌드별 성능 변화를 추적합니다.",https://perf.vllm.ai/
vllm-production-metrics,vLLM Production Metrics,자원 계측,vLLM 엔진,"요청 대기열·KV 캐시·접두어 캐시·선점·토큰·TTFT·ITL·E2E",Prometheus 시계열,사용자 환경,Prometheus,가능,Apache-2.0,활성,2026-09-24,도입 예정,"엔진 내부 상태와 요청 지연 시간을 /metrics에서 제공합니다. GPU 지표와 같은 시간대를 기준으로 수집합니다.",https://docs.vllm.ai/en/latest/usage/metrics/
nvidia-dcgm,NVIDIA DCGM Exporter,자원 계측,NVIDIA GPU,"VRAM·SM·텐서·DRAM·전력·에너지·온도·PCIe·NVLink·XID",주기 수집,사용자 환경,Prometheus,가능,Apache-2.0,활성,2026-09-24,도입 예정,"GPU UUID별 자원 사용량과 상태 점검 지표(health metric)를 수집합니다. 짧은 인수시험에서는 1초 간격으로 수집하는 것을 권장합니다.",https://docs.nvidia.com/datacenter/dcgm/latest/reference/dcgm-exporter-metrics.html
nvidia-smi,NVIDIA nvidia-smi,자원 계측,NVIDIA GPU·프로세스,"메모리·사용률·전력·온도·동작 주파수·프로세스",dmon·pmon 주기 수집,사용자 환경,텍스트,가능,NVIDIA 시스템 도구,활성,2026-09-24,대체 수단,"DCGM을 설치할 수 없는 환경에서는 dmon과 pmon으로 GPU와 프로세스 ID(PID)의 시계열 데이터를 수집할 수 있습니다.",https://docs.nvidia.com/deploy/nvidia-smi/
